,category,id,latitude,longitude
369,Coffee & Tea,cafe-du-soleil-san-francisco,37.77135,-122.430086
370,Pizza,pizzeria-delfina-san-francisco-3,37.7890022,-122.4343326
371,Chinese,henrys-hunan-restaurant-san-francisco-7,37.7996560011,-122.407288671
372,Sports Bars,rumors-san-francisco-4,37.7754681,-122.4066365
373,Coffee & Tea,velo-rouge-cafe-san-francisco,37.7753311381,-122.458363873
374,American (New),mason-pacific-san-francisco,37.796661,-122.411581
375,Vietnamese,turtle-tower-san-francisco-6,37.7839535,-122.4178971
376,Bars,dr-teeth-and-the-electric-mayhem-san-francisco,37.7598640742,-122.419043979
377,Seafood,ppq-dungeness-island-san-francisco-2,37.7823219299,-122.484443665
378,Mexican,publico-urban-taqueria-san-francisco,37.7710266113,-122.407310486
379,Grocery,marina-supermarket-san-francisco,37.80004631,-122.441519085
380,Bakeries,arizmendi-bakery-san-francisco,37.7633882,-122.4664991
381,Asian Fusion,unicorn-san-francisco,37.7922425419,-122.399523184
382,Argentine,tanguito-san-francisco,37.807614,-122.417203
383,Breakfast & Brunch,griddle-fresh-san-francisco,37.751351,-122.432183
384,Burmese,mandalay-san-francisco,37.7851051837,-122.46404171
385,Chinese,r-and-g-lounge-san-francisco,37.7941177404,-122.404610177
386,Farmers Market,upper-haight-farmers-market-san-francisco-2,37.7681767018,-122.453467212
387,Latin American,la-fusión-san-francisco-2,37.7916357456,-122.403691573
388,Cafes,mission-public-san-francisco,37.768286,-122.4186664
389,Japanese,sushi-house-san-bruno,37.626067,-122.411154
390,Pizza,valencia-pizza-and-pasta-san-francisco,37.7600196719,-122.421308756
391,American (New),tyler-florence-rotisserie-san-francisco,37.6166790063,-122.38615036
392,Italian,emmys-spaghetti-shack-san-francisco,37.7429492641,-122.421251228
393,American (New),fable-san-francisco,37.7600032,-122.434921
394,Barbeque,jang-soo-bbq-san-francisco,37.780196,-122.487262
395,Coffee & Tea,cafe-la-flore-san-francisco-3,37.7827709596,-122.47054464
396,Asian Fusion,pomelo-san-francisco,37.7424003978,-122.426683903
397,Dim Sum,yank-sing-2-go-san-francisco,37.7924919873,-122.39390865
398,Juice Bars & Smoothies,blue-hawaii-açaí-café-san-francisco-2,37.794686,-122.398082
399,Chinese,kam-po-kitchen-san-francisco,37.7971941478,-122.410355962
